Institute ID,Institute Name,TLR,RPC,GO,OI,PERCEPTION,City,State,Score,Rank,Year,UG_Students,Total_Students,Capital_Expenditure,Operational_Expenditure,Total_Expenditure,WOS_Publications,WOS_Citations,Scopus_Publications
NIRF-ENGG-INF-346,"Indian Institute Of Technology, Indore",86.75,75.78,89.85,39.23,46,Indore,Madhya Pradesh,72,16,2016,3709.50886,5340.689021,1086673440,1445684067,2407397399,1385.521908,2983.696882,4109.340156
NIRF-ENGG-1-2451694143,Birla Institute Of Technology,55.39,81.06,82.47,65.5,90,RANCHI,Jharkhand,71.8,17,2016,5197.531774,6522.235654,615306942.4,2607058750,2629218729,1400.214096,2786.938912,3873.637878
NIRF-ENGG-INF-225,"Visvesvaraya National Institute Of Technology, Nagpur (Deemed University)-Nagpur",59.98,73.64,69.05,82.7,85,Nagpur,Maharashtra,71.29,18,2016,2633.950095,4024.230457,1616394395,2562791659,2711369528,1404.204816,2735.697388,3641.729846
NIRF-ENGG-INF-140,"National Institute Of Technology, Rourkela-Rourkela",60.78,75.69,81.49,73.21,74,Rourkela,Odisha,70.8,19,2016,4692.008995,5851.697865,1493065942,2497114085,2672159515,1357.694595,2678.522428,3779.628066
NIRF-ENGG-INF-NEW11,"Indian Institute Of Engineering Science And Technology, Shibpur",57.76,83.07,76.07,59.5,87,Howrah,West Bengal,70.35,20,2016,3725.065612,5625.600863,605220820.9,2698933411,2708614128,1426.599492,2808.604083,4602.433818
NIRF-ENGG-INF-338,"Indian Institute Of Technology, Mandi",85.83,70.35,81.05,47.29,43,Mandi,Himachal Pradesh,70.32,20,2016,3304.991486,4451.69506,1064074853,1483431591,2505370037,1414.228666,2901.6594,4606.437141
NIRF-ENGG-1-2453839794,"College Of Engineering, Pune",58.61,66.4,82.92,74.67,95,PUNE,Maharashtra,69.71,21,2016,3549.363666,5106.797146,1476183565,2469807571,2728336975,1364.939588,2754.056243,3767.219752
NIRF-ENGG-INF-363,"National Institute Of Technology, Karnataka-Mangalore",60.26,67.86,77.29,70.22,88,Mangalore,Karnataka,68.95,22,2016,3529.163263,4968.415088,637986834.3,2645953079,2799570383,1333.751804,2667.591428,3783.595683
NIRF-ENGG-INF-357,Motilal Nehru National Institute Of Technology,54.63,72.07,74.08,75.04,82,Allahabad,Uttar Pradesh,67.94,23,2016,3757.661276,6661.838857,1543178823,2681288617,2782553086,1357.420525,2751.268047,3715.458918
NIRF-ENGG-1-2451585489,Psg College Of Technology-Coimbatore,56.72,64.67,77.3,72.1,94,COIMBATORE,Tamil Nadu,67.8,24,2016,8988.817926,11919.53676,1470669140,2600560999,2804415930,1356.391513,2786.658045,3989.067945
NIRF-ENGG-INF-301,"Indian Institute Of Technology, Jodhpur",73.02,66.41,60.71,60.11,86,Jodhpur,Rajasthan,67.68,25,2016,1184.57923,1799.363758,1213734689,2421673077,2786147603,1616.447477,3018.622897,3609.482251
NIRF-ENGG-INF-296,"Indian Institute Of Technology, Bhubaneswar",67.4,75.73,61.06,51.57,85,Bhubaneswar,Odisha,67.58,26,2016,1745.746771,3248.904668,1109659532,2412642266,2661097903,1523.013931,2876.273872,3589.415478
NIRF-ENGG-1-2454118012,Thapar University-Patiala,49.43,78.7,77.69,64.58,83,PATIALA,Punjab,67.51,27,2016,4569.756781,7289.680704,642344879.6,2680242838,2777594479,1987.196207,3404.25427,4668.783182
NIRF-ENGG-INF-247,"National Institute Of Technology, Warangal",58.2,71.82,75.41,61.2,82,Warangal,Telangana,67.12,28,2016,3589.595377,5312.723454,644167405.5,2590785842,2788949330,1363.80436,2717.321725,4656.568051
NIRF-ENGG-1-2452436680,Thiagarajar College Of Engineering-Madurai,57.93,75.86,80.94,57.91,63,MADURAI,Tamil Nadu,66.51,29,2016,4781.726747,5366.860702,601019217.9,1848431012,2577119405,1346.537151,2533.070154,4752.887979
NIRF-ENGG-INF-361,"National Institute Of Technology, Durgapur",49.24,79.62,65.86,66.15,78,Durgapur,West Bengal,65.4,30,2016,3220.871106,5347.05172,609535514.2,2680871393,2603591026,2064.310716,3451.496211,3625.394873
NIRF-ENGG-1-2456108684,Amrita School Of Engineering,56.81,63.75,74.02,62.08,75,KARUNAGAPALLY,Kerala,63.94,31,2016,1981.801598,3126.677383,634291685.6,2446678672,2656212214,1244.204022,2660.506478,4611.847899
NIRF-ENGG-620,Shanmugha Arts Science Technology & Research Academy (Sastra),60.21,65.55,81,58.4,51,Thanjavur,Tamil Nadu,63.77,31,2016,3607.613744,4259.487984,629780548,1694024354,2693403576,1270.551085,2390.109666,4600.040809
NIRF-ENGG-1-2452855119,Kalinga Institue Of Industrial Technology,60.63,73.91,83.55,70.31,1,BHUBANESWAR,Odisha,63.4,32,2016,5049.195631,4635.299475,531998642.5,587049504.6,2424967712,731.2547374,1938.987813,1956.052493
NIRF-ENGG-1-2455786386,M. S. Ramaiah Institute Of Technology-Bangalore,40.32,72.19,95.08,66.33,61,BANGALORE,Karnataka,63.39,33,2016,4850.29835,4169.530787,519360668.6,2018266770,2654552201,1858.59747,2889.422178,3895.800922
NIRF-ENGG-1-2449931180,Coimbatore Institute Of Technology-Coimbatore,48.31,62.54,82.91,68.54,74,COIMBATORE,Tamil Nadu,62.58,34,2016,5924.207062,8493.15583,569428154.1,2400393844,2739961963,1825.908336,2939.632212,3934.226512
NIRF-ENGG-INF-142,"National Institute Of Technology, Calicut",56.09,71.53,72.03,64.42,40,Calicut,Kerala,62.26,35,2016,2125.45163,2569.12886,567993896.3,1626169557,2647228443,1288.239841,2468.79472,4655.570201
NIRF-ENGG-1-2451203119,R.V. College Of Engineering-Bengaluru,55.4,65.31,77.86,48.75,76,BENGALURU,Karnataka,62.26,35,2016,3201.214724,2044.941578,330437507.2,2205757336,2585145949,1219.428655,2183.031592,4746.487875
NIRF-ENGG-INF-240,"Malaviya National Institute Of Technology, Jaipur",55.13,71.63,74.32,62.16,41,Jaipur,Rajasthan,62.14,37,2016,2764.984174,3805.527653,597625177.8,1904841409,2669727931,1282.518564,2377.358353,4636.348539
NIRF-ENGG-1-2519066781,Pec University Of Technology-Chandigarh,62.21,55.58,70.83,55.49,77,CHANDIGARH,Chandigarh,61.32,38,2016,1402.937968,2017.211619,1654058606,2458424093,2493884490,1316.243528,2019.194459,5063.742716
NIRF-ENGG-1-2456080951,Manipal Institute Of Technology,62.58,67.06,65.34,61.72,33,MANIPAL,Karnataka,61.15,39,2016,2369.496482,3414.945385,1726126563,2076565418,2837873435,1456.256217,1351.732846,3157.326302
NIRF-ENGG-1-2455890291,Jamia Millia Islamia (A Central University),47.68,76.73,56.87,47.6,72,NEW DELHI,Delhi,60.18,41,2016,4089.375578,4202.465921,1600080113,2126157823,2500195265,1974.449532,2751.147504,3207.282256
NIRF-ENGG-INF-293,"Dr. B R Ambedkar National Institute Of Technology, Jalandhar",46.65,74.56,81.02,61.7,25,Jalandhar,Punjab,59.91,42,2016,5188.86379,5689.727714,1659233342,650154648,2439699709,461.9287964,1471.062261,2161.982124
NIRF-ENGG-INF-333,"Indian Institute Of Science Education & Research, Mohali",59.29,82.22,13.39,50.12,83,Mohali,Punjab,59.58,43,2016,2858.227491,2035.597375,234313091.1,2089202288,990987913.7,1422.549489,2062.741695,3186.955109
NIRF-ENGG-350,Karunya Institute Of Technology And Sciences,55.1,68.79,60.61,78.6,19,Coimbatore,Tamil Nadu,59.29,44,2016,4563.913299,3576.644289,625784787.9,783942288.2,1979304872,502.2277618,1553.815735,2021.485849
NIRF-ENGG-512,"Institute Of Technology, Nirma University",48.41,54.52,67.95,69.27,81,Ahmedabad,Gujarat,59.23,45,2016,5151.264452,7167.507236,440845204.1,2658046733,2116409055,2000.870413,2966.970587,4330.47928
NIRF-ENGG-1-2456278780,Kongu Engineering College,47.51,66.33,77.98,72.56,32,PERUNDURAI,Tamil Nadu,59.06,46,2016,5724.668705,7196.949322,286624742.3,1823205330,3192877168,302.505428,1442.770297,2664.150166
NIRF-ENGG-1-2456274762,sona College Of Technology-Salem,39.04,58.23,66.94,77.41,86,SALEM,Tamil Nadu,58.97,47,2016,12051.13749,14607.62142,615796457.4,2607549068,2121646189,1999.565594,2885.955799,3650.514531
NIRF-ENGG-INF-144,"National Institute Of Technology, Kurukshetra",53.15,64.82,78.28,53.95,41,Kurukshetra,Haryana,58.89,48,2016,2912.162696,2921.414819,167743813.6,1730934585,1818476409,1262.889522,2300.937107,4671.717779
NIRF-ENGG-1-2452861917,Pondicherry Engineering College,58.68,57.67,71.2,77.49,19,PUDUCHERRY,Pondicherry,58.79,49,2016,3282.53104,3300.803362,597619772.9,754365262,845515320.9,502.4042247,1481.581421,2037.61082
NIRF-ENGG-1-2449920071,"Amrita Viswa Vidyapeetham-Amrita Nagar (Po) ,Ettimadai",57.04,53.42,81.38,65.7,36,"AMRITA NAGAR (PO) ,ETTIMADAI",Tamil Nadu,58.78,50,2016,2115.712037,2016.574635,315050786,1567357386,3051971820,1245.780207,2472.28603,3732.397054
NIRF-ENGG-INF-145,"National Institute Of Technology, Hamirpur",41.6,73.08,77.24,63.3,41,Hamirpur,Himachal Pradesh,58.65,51,2016,5297.783201,4689.870044,341918640,1900644537,1607206032,1813.714636,2644.334708,4563.35869
NIRF-ENGG-INF-359,"National Institute Of Technology, Agartala",57.4,58.47,75.03,66.24,32,Agartala,Tripura,58.63,52,2016,864,1336,372960056.2,1675372338,3109119362,22,157,2634.966766
NIRF-ENGG-1-2456189964,Kumaraguru College Of Technology-Coimbatore,57.49,58.03,69.44,70.34,32,COIMBATORE,Tamil Nadu,58.44,53,2016,3018.197992,2993.326236,475597339.4,1741134768,3146666633,47.14982401,508.8023304,2641.314467
NIRF-ENGG-57,B.S. Abdur Rahman Institute Of Science And Technology,61.16,61.37,63.61,65.39,21,Chennai,Tamil Nadu,57.8,54,2016,2036.089902,3465.654584,502211868.3,774891921.5,1229098818,446.4852878,1838.377203,2154.230774
NIRF-ENGG-1-2455979851,Cochin University Of Science And Technology-Cochin,46.89,72.99,55.16,51.52,66,COCHIN,Kerala,57.69,55,2016,3663.448887,4798.680376,221627590.9,1971161963,967117944.4,1941.829111,3217.106235,3111.445334
NIRF-ENGG-INF-372,Sant Longowal Institute Of Engineering & Technology-Sangrur,57.24,67.97,55.5,35.4,67,Sangrur,Punjab,57.52,56,2016,4423.586397,5606.607601,219783523.9,932666534.1,993828306.6,1361.19927,2852.863362,3090.997828
NIRF-ENGG-INF-365,"National Institute Of Technology, Meghalaya",73.56,51.98,75.3,38.57,33,Shillong,Meghalaya,57.47,57,2016,2863.710074,3860.593664,209826497.1,1083821291,974386638.8,1204.839033,3381.556523,4387.671089
NIRF-ENGG-1-2451156700,Itm University - Gwalior (School Of Engineering & Technology)-Gwalior,46.14,58.6,69.8,76.6,47,GWALIOR,Madhya Pradesh,57.45,58,2016,11098.03534,13585.04708,464005373.4,2114933877,2082675052,1777.002462,3259.106034,4212.227456
NIRF-ENGG-363,Koneru Lakshmaiah Education Foundation,49.49,61.9,70.43,60.32,49,Guntur,Andhra Pradesh,57.37,59,2016,2152.78496,4923.386783,393671143.6,2171521065,2140516483,1812.650406,3222.184902,4684.634704
NIRF-ENGG-321,Jaypee Institute Of Information Technology,45.21,59.86,79.38,69.05,40,Noida,Uttar Pradesh,56.79,60,2016,5885.289662,5572.736825,298848876.1,1635512570,1508112068,1688.468452,2887.61365,4086.801624
NIRF-ENGG-1-2454054346,Bharati Vidyapeeth Deemed University College Of Engineering-Pune,55.6,34.04,90.52,75.5,50,PUNE,Maharashtra,56.56,61,2016,1114.279176,1130.649258,319500758.6,1998170760,2056882724,1001.300824,3013.657283,1420.998765
NIRF-ENGG-1-2449912182,Bannari Amman Institute Of Technology-Sathyamangalam,51.61,58.11,77.22,62.78,27,SATHYAMANGALAM,Tamil Nadu,56.21,62,2016,1622.45312,1770.671871,351088279.8,809353570,1421724928,465.4504826,1398.417313,2160.758323
NIRF-ENGG-INF-368,"National Institute Of Technology, Raipur",46.48,62.13,75.15,63.84,31,Raipur,Chhattisgarh,55.93,63,2016,3347.582514,5669.208193,350979492.8,2172777203,3218312181,279.040905,1720.814643,2698.23524
NIRF-ENGG-1-2451386658,Vishwakarma Institute Of Technology-Pune,43.67,64.68,77.11,48.56,48,PUNE,Maharashtra,55.7,64,2016,2868.560744,1830.406187,155212708.4,1556357003,1034083513,1759.336897,2871.091699,4652.03807
NIRF-ENGG-INF-141,"National Institute Of Technology, Silchar",55.75,58.12,66.08,71.32,12,Silchar,Assam,55.49,65,2016,3213.248048,2702.982684,463722650.3,1160034896,1645657992,498.1703828,2324.452876,2117.344561
NIRF-ENGG-516,Noorul Islam Centre For Higher Education,51.73,53.46,50.05,70.4,59,Kanyakumari,Tamil Nadu,55.45,66,2016,3636.103202,3292.825674,437643768.9,2032001608,2112728723,1896.135827,3957.378147,3325.431639
NIRF-ENGG-INF-358,"National Institute Of Technology, Srinagar",50.37,59.18,72.01,60.42,33,Kashmir,Jammu and Kashmir,55.3,67,2016,4531.424463,8068.751251,328086060.7,2491307552,3154720334,1735.296598,1877.735846,4516.424671
NIRF-ENGG-1-2453375226,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",37.05,64.47,67.19,46.69,77,JALGAON,Maharashtra,54.91,68,2016,2975.754727,3134.168473,163823860.9,2235793359,958617482.2,2038.237121,3256.68859,4644.795861
NIRF-ENGG-1-2451415750,National Institute Of Science & Technology-Berhampur,41.66,50.29,74.67,65.68,63,BERHAMPUR,Odisha,54.81,69,2016,1352.222819,2153.008515,400959928.5,2307830950,2085781732,1780.197538,4040.324719,4234.78402
NIRF-ENGG-1-2450669659,Siddaganga Institute Of Technology-Tumkur,52.98,51.91,72.17,66.37,30,TUMKUR,Karnataka,54.67,70,2016,672.462101,1043.522987,346919183.2,1002585489,1351286547,520.4750209,2835.23936,2627.994546
NIRF-ENGG-1-2450577299,Chaitanya Bharathi Institute Of Technology-Hyderabad,44.1,47.74,69.08,64.91,73,HYDERABAD,Telangana,54.66,71,2016,2379.026235,3355.359989,332210121.7,2647678525,2143646520,2547.946945,4489.239405,4867.842347
NIRF-ENGG-230,Hindustan Institute Of Technology  And Science (Hits),52.71,41.67,69.01,79.65,42,Chennai,Tamil Nadu,54.32,72,2016,3570.066317,1655.605264,394257003.8,1886625544,1712599097,1921.709531,4360.671205,4074.683948
NIRF-ENGG-1-2452919762,Sagi Ramakrishnam Raju Engineering College-Bhimavaram,50.02,48.05,75.83,75.45,23,BHIMAVARAM,Andhra Pradesh,54.02,73,2016,3715.920127,2193.36091,294727852.1,924822615.2,1584759946,736.6705491,3091.709695,1428.950137
NIRF-ENGG-1-2449860060,C.V.Raman College Of Engineering-Bhubaneswar,46.77,56.85,81.69,55.36,23,BHUBANESWAR,Odisha,53.91,74,2016,355.7035971,639.2741357,199055788.3,699582761.1,927522403.3,548.3496592,1906.058837,2150.045879
NIRF-ENGG-1-2453916713,Kasegaon Education Societys Rajarambapu Institute Of Technology-Islampur,43.98,41.32,73.89,66.09,75,ISLAMPUR,Maharashtra,53.69,75,2016,984.5341973,2251.383797,379716737.9,2653225506,2178115748,2426.985894,4212.536291,3995.826229
NIRF-ENGG-INF-404,"National Institute Of Technology, Goa",57.7,38.61,66.13,46.27,85,Ponda,Goa,53.65,76,2016,1455.699266,1520.076721,114432979.5,2019811507,962041336.7,1117.214557,3222.069991,1263.561093
NIRF-ENGG-INF-424,"Pandit Dwarka Prasad Mishra Indian Institute Of Information Technology, Design And Manufacturing (IIITDM), Jabalpur",47.15,62.91,79,54.79,12,Jabalpur,Madhya Pradesh,53.37,77,2016,3050.308578,2932.824357,164823160.8,945972270.1,974516532.4,602.6740583,2515.647891,2116.355078
NIRF-ENGG-INF-362,"National Institute Of Technology, Jamshedpur",36.73,67.7,79.14,48.8,31,Jamshedpur,Jharkhand,53.35,78,2016,4124.64354,2167.580072,76240262.57,1436417680,1185665770,451.1381805,1780.317711,2500.336152
NIRF-ENGG-1-2451417043,Institute Of Engineering & Management-Kolkata,43.45,56.73,82.68,58.11,21,KOLKATA,West Bengal,53.26,79,2016,53.14025046,360.8507909,198630389.9,862682982.6,1235459459,580.4332491,1974.419299,2149.087268
NIRF-ENGG-INF-410,"Indian Institute Of Information Technology, Design & Manufacturing (IIITD&M) Kancheepuram-Chennai",48.23,41.22,86.82,61.99,38,Chennai,Tamil Nadu,52.64,80,2016,2308.769039,3849.121566,198908388.1,1690057712,1719519522,2450.402856,5470.454242,3972.81183
NIRF-ENGG-1-2452796944,Centurion Institute Of Technology,50.24,53.01,67.05,75.26,12,JATNI,Odisha,52.58,81,2016,5275.183913,3314.607684,417120060.9,1260863818,1787663424,782.7408219,5156.492941,2112.152281
NIRF-ENGG-1-2455130573,College Of Technology And Engineering-Udaipur,53.51,61.8,50.46,49.2,34,UDAIPUR,Rajasthan,52.39,82,2016,2370.96152,1488.817589,142410683.5,1299616140,1091156084,1454.681312,2313.96947,2622.444156
NIRF-ENGG-1-2453523111,Veermata Jijabai Technological Institute,32.29,57.85,79.62,59.06,47,MUMBAI,Maharashtra,52.17,84,2016,3259.63612,1340.285379,178149044.9,1937860910,2355685851,1822.416767,3843.46789,4742.653307
NIRF-ENGG-1-2450743734,K. K. Wagh Institute Of Engineering Education & Research-Nashik,37.52,45.97,70.43,60.73,80,NASHIK,Maharashtra,51.92,85,2016,3573.415496,3602.502657,361923977.6,2620335619,2207776944,2327.3038,4645.944432,4872.030609
NIRF-ENGG-1-2454009090,"Shri Ramdeobaba College Of Engineering And Management, Ramdeo Tekdi, Gittikhadan, Katol Road, Nagpur-Nagpur",46.81,47.19,72.78,61.03,34,NAGPUR,Maharashtra,51.5,86,2016,2828.19692,4573.066386,347543296.2,2609195959,3090445741,1852.153742,3567.686398,4491.403726
NIRF-ENGG-INF-367,"National Institute Of Technology, Patna",46.73,52.37,66.9,55.69,37,Patna,Bihar,51.08,87,2016,1933.402734,2264.648452,299587164.5,2594663255,3277299975,1726.968131,4846.898613,3597.274523
NIRF-ENGG-773,"Vignan's Foundation For Science, Technology And Research",49.21,50.65,72.09,67.19,0,Guntur,Andhra Pradesh,50.65,88,2016,5003.081726,7535.30808,218206779.9,1111194913,1218372250,966.9923176,4313.065845,1983.061759
NIRF-ENGG-1-2453802770,Shri Guru Gobind Singhji Institute Of Engineering And Technology-Nanded,48.74,47.61,67.42,51.75,41,NANDED,Maharashtra,50.64,89,2016,3516.847312,3555.129226,125518662.7,1839822693,1003656227,2067.88678,4748.59907,5105.596177
NIRF-ENGG-1-2454313873,Sri Ramakrishna Engineering College-Coimbatore,46.62,56.15,67.8,65.62,6,COIMBATORE,Tamil Nadu,50.55,90,2016,3070.093999,4673.341671,396747822.5,1213194275,1410676036,751.1405676,3762.62611,2006.023847
NIRF-ENGG-1-2449883879,Bengal Institute Of Technology,28.7,50,92.06,47.01,59,KOLKATA,West Bengal,50.33,91,2016,1308.76289,1984.041966,91827455.67,1197584748,802979465.6,1582.337682,4204.859932,4230.644574
NIRF-ENGG-INF-408,"National Institute Of Technology, Delhi",41.3,48.26,61.61,67.57,45,Delhi,Delhi,50.22,92,2016,3231.213081,3167.614488,403812312.4,1717175511,1646290688,1718.367399,4035.696494,3547.445571
NIRF-ENGG-1-2450722205,Yeshwantrao Chavan College Of Engineering-Nagpur,45.23,39.29,65.99,73.81,46,NAGPUR,Maharashtra,50.14,93,2016,4321.811861,3791.846144,405529865.8,1876697607,1741429122,1839.932435,4454.770574,2007.086177
NIRF-ENGG-1-2449936766,Adhiyamaan College Of Engineering (Engineering & Technology),52,49.66,54.04,59.65,34,HOSUR,Tamil Nadu,50.04,94,2016,1496.148773,929.0514257,289314566.8,2579039704,3210557883,1718.594185,2864.623091,2808.595015
NIRF-ENGG-1-2452443212,"Maharashtra Academy Of Engineering And Educational Research, Mit College Of Engineering, Pune-Pune",38.75,49.01,64.45,66.6,44,PUNE,Maharashtra,49.66,95,2016,2992.426118,3528.119657,449710371.9,1867931387,1638079274,1733.267914,4126.479646,3570.51186
NIRF-ENGG-1-2455794950,The National Institute Of Engineering,38.67,46.65,77.95,64.66,35,MYSORE,Karnataka,49.514,96,2016,1928.379287,2041.864138,205047684.5,2488719647,3042719065,1907.495174,3766.81298,4442.117232
NIRF-ENGG-1-2453623896,"Government College Of Engineering, Aurangabad (Academic Autonomous)",43.4,49.06,71.34,50.18,43,AURANGABAD,Maharashtra,49.511,97,2016,1020.847473,430.7328476,90521565.07,1298032674,885355417.8,1650.460018,4608.567405,4942.016842
NIRF-ENGG-1-2449945774,Anand Institute Of Higher Technology,29.71,55.27,78.24,61.62,35,CHENNAI,Tamil Nadu,49.41,98,2016,2687.278296,2282.138961,203294287.6,2346886654,3067386157,1480.774786,3010.691689,4445.271441
NIRF-ENGG-1-2454813228,Noida Institute Of Engineering & Technology,44.1,38.54,79.51,69.04,27,GAUTAM BUDH NAGAR,Uttar Pradesh,49.24,99,2016,1756.917168,2925.97434,206751232.1,861761076.9,1227757884,969.1264025,3175.034622,1369.526805
NIRF-ENGG-1-2455123470,University Institute Of Chemical Engineering And Technology,39.97,56.55,78.3,51.32,17,CHANDIGARH,Chandigarh,49.09,100,2016,0,736.9825019,84739791.46,844382039.9,948877261.6,587.1846725,2780.364424,1902.360278
IR17-I-2-18243,Indian Institute of Science Bangalore,83.11,87.59,87.97,61.48,83.33,Bengaluru,Karnataka,83.28,1,2017,779.035097,1767.066712,1245157664,3796584444,5169949393,3783.447331,12514.02824,4221.810443
IR17-I-1-1-77,Indian Institute of Technology Madras,69.49,72.6,84.02,76.75,68.7,Chennai,Tamil Nadu,73.97,2,2017,3658,7048,2061030001,2488427561,4549457562,3205,10522,3191
IR17-I-2-18633,Indian Institute of Technology Bombay,64.68,78.14,70.07,65.8,83.44,Mumbai,Maharashtra,71.78,3,2017,3762,6860,562225147,2949383268,3511608415,3186,10869,3209
IR17-I-2-18630,Indian Institute of Technology Kharagpur,55.07,70.46,85.11,72.85,64.72,Kharagpur,West Bengal,68.43,4,2017,4620,8705,1514111580,2555660549,4069772129,3646,14354,3376
IR17-I-2-1-79,Indian Institute of Technology Delhi,55.45,68.48,65.92,68.69,69.53,New Delhi,Delhi,64.18,5,2017,3440,5906,766477000,2640065000,3406542000,3168,13346,3075
IR17-I-2-1-319,Jawaharlal Nehru University,62.11,33.96,98.71,82.4,47.27,New Delhi,Delhi,61.53,6,2017,1278.350566,1222.691225,1502538008,1644061567,2952019856,2842.841092,7428.411181,1018.468864
IR17-I-2-18248,Indian Institute of Technology Kanpur,60.07,62.14,58.34,60.01,63.62,Kanpur,Uttar Pradesh,60.69,7,2017,3607,5801,1931981000,1370200000,3302181000,2271,7591,2103
IR17-I-2-1-251,Indian Institute of Technology Guwahati,65.53,47.46,78.28,79.28,28.79,Guwahati,Assam,60.37,8,2017,2436,4049,1661069660,1095157676,2756227336,1688,6010,1668
IR17-I-2-18677,Indian Institute of Technology Roorkee,52.24,56.6,83.38,72.7,32.38,Roorkee,Uttarakhand,59.84,9,2017,4079,6719,1397576000,1407516000,2805092000,2446,10219,2434
IR17-I-2-18500,Banaras Hindu University,47.85,49.96,94.36,62.97,44.01,Varanasi,Uttar Pradesh,58.92,10,2017,3519.19966,6204.583958,228138712.6,1400577109,1484534029,2698.023913,7453.457255,3955.07786
IR17-I-2-30673,Jawaharlal Nehru Centre for Advanced Scientific Research,78.28,51.93,68.79,47.44,6.92,Bengaluru,Karnataka,58.25,11,2017,2747.911964,4011.475462,224510431.2,538635764.2,472025052.4,2198.27782,7587.121315,1911.542694
IR17-I-2-10326,Jadavpur University,48.64,54.09,91.42,53.37,28.81,Kolkata,West Bengal,57.32,12,2017,4085,5672,162985776,774936509,937922285,2293,7153,2507
IR17-I-2-18292,Anna University,46.25,54.58,79.31,60.01,43.94,Chennai,Tamil Nadu,56.5,13,2017,5491,7702,150703000,1268590000,1419293000,2884,8073,4536
